id;channel_id;name;max_message_id;is_active;is_complete;retrieved_utc;updated_utc
401;-1001596060159;A VERDADE NUA E CRUA.;40766;t;f;2022-12-29 22:01:11.762238;2022-12-29 22:01:11.762238
300;-1001438049964;🗣️D!TAdura di Kú, é r0la!🙊;176656;t;f;2022-12-21 23:17:31.169636;2022-12-21 23:17:31.169636
103;-1001609036805;#ResistênciaCivilSOSFFAA;2912;t;f;2022-12-21 01:09:16.968316;2022-12-21 01:09:16.968316
353;-1001323233349;DIREITA PATRIOTA;218037;t;f;2022-12-22 10:54:55.601609;2022-12-22 10:54:55.601609
452;-1001314675069;JANAÍNA PASCHOAL;11855;t;f;2022-12-30 04:11:59.192139;2022-12-30 04:11:59.192139
58868;-1001711365749;Roberto comunidade de investimento bitcoin (🪙Criptomoeda🪙 🇧🇷FX🇧🇷);2214;t;f;2023-05-06 20:40:38.513761;2023-05-06 20:40:38.513761
298;-1001732359993;CUT Minas;1419;t;f;2022-12-21 23:17:20.288819;2022-12-21 23:17:20.288819
323;-1001736828635;Slavyangrad STANDS WITH #SERBIA;25899;t;f;2022-12-22 10:25:43.811973;2022-12-22 10:25:43.811973
67;-1001294187655;PADRES POR LA VERDAD ESPAÑA;14693;t;f;2022-12-20 23:24:58.778986;2022-12-20 23:24:58.778986
308;-1001652897844;CONGREGAÇÃO DE DEUS🕊🇧🇷.;10824;t;f;2022-12-22 10:19:12.20852;2022-12-22 10:19:12.20852
504;-1001537227817;Weisses Armband2.0;6082;t;f;2022-12-30 18:38:07.32765;2022-12-30 18:38:07.32765
411;-1001479700426;RASGANDO O VERBO;457233;t;f;2022-12-29 22:38:51.73537;2022-12-29 22:38:51.73537
261;-1001425869380;🇧🇷 NAÇÃO BRASILEIRA 🇧🇷;486117;t;f;2022-12-21 22:14:58.722811;2022-12-21 22:14:58.722811
1;-1001186291639;Ciro Gomes Oficial;7130;t;f;2022-11-25 22:28:03.414832;2022-11-25 22:28:03.414832
160;-1001181496989;MOVIMENT🚫 Anti-Novo NORMAL 🚫 PATRIOTA 🇧🇷;284053;t;f;2022-12-21 09:21:49.818199;2022-12-21 09:21:49.818199
135;-1001340952964;Os Conservadores - Grupo;18633;t;f;2022-12-21 02:42:43.520022;2022-12-21 02:42:43.520022
405;-1001381225210;Gazeta Brasil;23962;t;f;2022-12-29 22:35:04.621198;2022-12-29 22:35:04.621198
420;-1001555717823;Meninos do Lixão;113443;t;f;2022-12-30 02:27:28.116243;2022-12-30 02:27:28.116243
138;-1001496206576;Grupo Dois de Julho;156222;t;f;2022-12-21 03:54:16.741452;2022-12-21 03:54:16.741452
214;-1001541311858;Posse do Lula Chat;12517;t;f;2022-12-21 15:49:41.710466;2022-12-21 15:49:41.710466
117;-1001706423439;POVO DEMOCRÁTICO;51522;t;f;2022-12-21 01:33:42.446737;2022-12-21 01:33:42.446737
140;-1001658017250;Desperta Brasil 2 🙏🏼 🇧🇷 A Missão 🇧🇷;9224;t;f;2022-12-21 04:00:12.504925;2022-12-21 04:00:12.504925
689;-1001470883537;BRASIL NAS RUAS. 🇧🇷 @diegovazsantiago ➡️;114397;t;f;2023-01-02 17:50:59.294854;2023-01-02 17:50:59.294854
186;-1001389233306;Intervencionistas;25298;t;f;2022-12-21 15:03:34.279762;2022-12-21 15:03:34.279762
516;-1001363150911;R͎ĄS͟GAN҉DO O̸ V͎E̸RBO͎;12234;t;f;2022-12-30 18:47:17.99799;2022-12-30 18:47:17.99799
183;-1001441825416;ANA MARIA OLIS / Encontros expandindo a consciência;92665;t;f;2022-12-21 10:22:21.174865;2022-12-21 10:22:21.174865
357;-1001660279471;Brasil Comunista;65783;t;f;2022-12-29 15:40:05.951705;2022-12-29 15:40:05.951705
2936;-1001069015277;Notícias Militares Importantes - Nosso lado é a VERDADE;1301;t;f;2023-01-09 17:37:52.646243;2023-01-09 17:37:52.646243
59;-1001285690728;+ BRASIL = - ESQUERDA;70418;t;f;2022-12-20 23:14:14.361409;2022-12-20 23:14:14.361409
157;-1001114342054;Quoi2news ?;11730;t;f;2022-12-21 09:19:54.370671;2022-12-21 09:19:54.370671
502;-1001879999641;BRASIL LIVRE;8927;t;f;2022-12-30 18:37:15.357561;2022-12-30 18:37:15.357561
336;-1001183932544;TROPA NACIONAL;60910;t;f;2022-12-22 10:42:14.242604;2022-12-22 10:42:14.242604
347;-1001441282022;A VERDADE PROIBIDA;0;t;f;2022-12-22 10:53:42.147842;2022-12-22 10:53:42.147842
378;-1001255399520;Confederação Direita Brasil;262379;t;f;2022-12-29 21:05:40.96486;2022-12-29 21:05:40.96486
348;-1001447016898;UCRANIZA BRASIL;0;t;f;2022-12-22 10:53:42.16392;2022-12-22 10:53:42.16392
230;-1001192899871;O Despertar ®️✨👽🛸;166833;t;f;2022-12-21 16:23:20.552698;2022-12-21 16:23:20.552698
14493;-1001564692341;ZUMBI NOTICIAS;11147;t;f;2023-01-16 21:56:07.652891;2023-01-16 21:56:07.652891
351;-1001167125815;LIBERTA BRASIL OFICIAL;85082;t;f;2022-12-22 10:54:29.159226;2022-12-22 10:54:29.159226
971;-1001526699981;A GRANDE MESSE;1884;t;f;2023-01-03 04:43:10.746099;2023-01-03 04:43:10.746099
17;-1001328911804;A V€rD@D€;88167;t;f;2022-12-20 22:13:39.182798;2022-12-20 22:13:39.182798
151;-1001282761220;Anitablian;30464;t;f;2022-12-21 07:45:35.755901;2022-12-21 07:45:35.755901
142;-1001805633366;Amizade BR;93259;t;f;2022-12-21 04:01:45.634724;2022-12-21 04:01:45.634724
459;-1001210325712;🇧🇷Direita🇧🇷Americana SP;39591;t;f;2022-12-30 07:07:37.445656;2022-12-30 07:07:37.445656
355;-1001779425078;PRÁTICA DA CONSPIRAÇÃO;183260;t;f;2022-12-22 10:55:06.514169;2022-12-22 10:55:06.514169
969;-1001438658621;Reação CAC;1047;t;f;2023-01-03 04:31:56.0591;2023-01-03 04:31:56.0591
310;-1001750200405;JARAGUÁ LIVRE;26015;t;f;2022-12-22 10:19:36.932706;2022-12-22 10:19:36.932706
319;-1001207196373;Grupo de oração;243152;t;f;2022-12-22 10:24:15.819593;2022-12-22 10:24:15.819593
321;-1001260185423;CANAL PHVox 💬;11130;t;f;2022-12-22 10:24:20.40308;2022-12-22 10:24:20.40308
3630;-1001170532613;🇧🇷🗣 ᴘᴀᴘᴏ ᴅɪʀᴇɪᴛᴀ ʙʀᴀꜱɪʟ 🇧🇷🗣;12138;t;f;2023-01-10 00:14:45.043847;2023-01-10 00:14:45.043847
409;-1001505716070;Juntos e Inconformados 🇧🇷;20413;t;f;2022-12-29 22:37:44.443134;2022-12-29 22:37:44.443134
315;-1001531278274;Bloco de Esquerda;871;t;f;2022-12-22 10:23:53.38493;2022-12-22 10:23:53.38493
468;-1001674126399;S.O.S o Brasil pede socorro - GO;0;t;f;2022-12-30 10:19:11.276556;2022-12-30 10:19:11.276556
349;-1001546504212;DERRUBANDO AS PEDRAS GUIAS DA GEÓRGIA;13749;t;f;2022-12-22 10:53:42.393522;2022-12-22 10:53:42.393522
