,channel_id,quantidade_mensagens
254,-608465957,40
49,-1001034598292,11263
203,-1001053615329,398
280,-1001082009731,7
277,-1001098696090,8
79,-1001104762199,6636
158,-1001105518976,1267
218,-1001122997711,235
98,-1001138204997,3956
112,-1001152681992,3189
165,-1001162309992,1080
236,-1001163238021,96
185,-1001164578421,766
189,-1001166554378,635
172,-1001167125815,978
226,-1001167163006,158
111,-1001168834595,3230
93,-1001169939114,4625
144,-1001170532613,1973
260,-1001170612987,25
272,-1001173703672,12
95,-1001174074213,4289
90,-1001180948961,5049
55,-1001181496989,10395
42,-1001183932544,12822
207,-1001184274556,344
130,-1001185032343,2517
127,-1001185585901,2670
265,-1001185882892,22
119,-1001187035667,2897
186,-1001188279004,712
211,-1001189808506,281
180,-1001189894571,859
274,-1001190982112,10
257,-1001192465700,35
273,-1001194822180,12
34,-1001195103298,15731
237,-1001202391811,93
170,-1001203717455,1008
268,-1001204083878,17
276,-1001205087017,9
253,-1001205532565,41
48,-1001206631805,11316
86,-1001207196373,5620
228,-1001207853030,127
31,-1001210325712,17680
230,-1001211455567,122
25,-1001211859007,20593
70,-1001218020047,7744
285,-1001221914867,2
255,-1001224882151,36
157,-1001225069015,1272
229,-1001226184108,124
205,-1001227889356,391
275,-1001229913545,10
99,-1001232609016,3924
259,-1001241475623,27
120,-1001242542918,2888
23,-1001251040659,21544
116,-1001255399520,3113
161,-1001260062975,1168
222,-1001262524595,197
217,-1001263104715,251
262,-1001271799024,24
213,-1001274239481,267
87,-1001276821294,5414
156,-1001277371789,1310
145,-1001278116861,1814
82,-1001281270661,6094
57,-1001281672460,10170
284,-1001284434839,3
27,-1001285690728,19461
92,-1001287760072,4911
239,-1001295685253,90
47,-1001298888199,11417
19,-1001299017216,28222
250,-1001305930201,47
191,-1001306032490,604
269,-1001311057611,15
282,-1001312857842,5
243,-1001314675069,60
210,-1001315758150,284
44,-1001316292236,12602
36,-1001316803493,15417
233,-1001319910895,98
234,-1001320325373,97
68,-1001323233349,7954
13,-1001328911804,41711
270,-1001330878170,14
35,-1001333472613,15502
133,-1001340952964,2464
166,-1001343432514,1044
187,-1001347334311,699
140,-1001347741522,2267
227,-1001351617718,150
21,-1001355792475,23349
256,-1001356188386,35
150,-1001357747959,1544
61,-1001359288171,9376
142,-1001364342229,2000
88,-1001366587545,5371
73,-1001375798302,7431
123,-1001379217518,2815
2,-1001383256261,88532
105,-1001384516486,3464
171,-1001385447420,1002
167,-1001388896568,1041
85,-1001389233306,5712
18,-1001389426089,31099
65,-1001392633171,8807
52,-1001399016297,10714
28,-1001399100023,18680
271,-1001400374082,13
113,-1001407269480,3157
125,-1001407793951,2746
219,-1001410756924,228
129,-1001410809166,2528
30,-1001412711321,17798
214,-1001413181736,262
155,-1001417100490,1322
81,-1001418127419,6425
195,-1001418165557,558
64,-1001421704570,8845
266,-1001425867953,20
5,-1001425869380,68455
209,-1001428035498,322
251,-1001430154385,47
200,-1001437878002,508
32,-1001438121370,17622
16,-1001441825416,34338
122,-1001445542540,2843
89,-1001445691020,5325
178,-1001445700270,866
263,-1001445797446,23
281,-1001446557171,6
159,-1001447349682,1242
71,-1001453746753,7668
114,-1001455471658,3155
1,-1001456992865,119739
248,-1001459885589,51
154,-1001461185208,1346
6,-1001465894336,56675
134,-1001468312899,2452
149,-1001469934877,1565
174,-1001470883537,925
249,-1001476289446,49
12,-1001479700426,43602
183,-1001480329419,780
163,-1001481305285,1107
179,-1001481899435,861
62,-1001485359482,9348
132,-1001486521307,2473
109,-1001486786150,3247
221,-1001490139066,198
264,-1001490158494,23
199,-1001492330757,520
258,-1001492431739,30
202,-1001493452374,410
0,-1001493947883,393449
238,-1001494170309,91
177,-1001494618558,892
84,-1001496206576,5741
224,-1001498731379,179
147,-1001500182303,1713
193,-1001505716070,589
162,-1001506062510,1124
83,-1001514046531,5970
104,-1001515685536,3494
164,-1001515918022,1093
106,-1001517274914,3458
136,-1001523917439,2372
216,-1001528569531,258
100,-1001531514291,3775
46,-1001533966146,11480
197,-1001540685304,546
97,-1001541311858,4103
67,-1001541526657,8152
220,-1001541905663,224
143,-1001546795800,1999
175,-1001553042827,912
50,-1001553471004,10931
24,-1001555717823,21432
59,-1001556822086,9519
279,-1001558280998,7
169,-1001559599947,1034
58,-1001560438016,9543
138,-1001561440607,2298
198,-1001561789589,523
244,-1001562017844,58
184,-1001566783372,771
66,-1001568720497,8425
72,-1001572172813,7595
242,-1001575049144,71
240,-1001580960892,86
168,-1001581203378,1034
80,-1001581501114,6585
192,-1001585425310,604
115,-1001587097148,3145
74,-1001589137324,7388
77,-1001590221948,6860
278,-1001591355931,7
261,-1001591607879,24
101,-1001593538776,3742
135,-1001594386143,2422
102,-1001596060159,3676
76,-1001597908116,6993
245,-1001601138564,56
160,-1001607233450,1208
10,-1001608833415,48067
108,-1001610121862,3310
246,-1001612154347,56
212,-1001613971959,281
118,-1001619037837,2946
252,-1001639211618,44
4,-1001642471798,73673
148,-1001652897844,1606
152,-1001653638313,1468
69,-1001658017250,7815
241,-1001659702835,74
15,-1001660279471,39286
283,-1001660930353,3
26,-1001662996930,19603
208,-1001663318469,327
107,-1001663621591,3332
17,-1001670661905,32322
196,-1001675598108,554
60,-1001676586934,9387
38,-1001681627862,13243
39,-1001683677681,13160
14,-1001687334051,40779
137,-1001688965636,2324
286,-1001690588832,1
176,-1001695364508,902
128,-1001695412517,2594
63,-1001695921571,9047
3,-1001700063373,88353
126,-1001702019004,2701
173,-1001703713007,956
33,-1001706423439,17325
146,-1001710954976,1733
190,-1001716160507,623
121,-1001719132464,2874
153,-1001730230818,1354
40,-1001731901584,12940
201,-1001734092533,442
188,-1001734135638,692
151,-1001746264789,1486
232,-1001749273008,108
78,-1001750200405,6778
131,-1001753194295,2508
94,-1001759553593,4359
20,-1001760143299,26226
45,-1001766367772,11814
117,-1001774822737,3065
51,-1001775308757,10920
9,-1001779425078,49320
103,-1001790960270,3546
41,-1001796043536,12904
96,-1001799932457,4198
37,-1001800313140,13979
8,-1001805633366,49738
182,-1001807791020,800
181,-1001809934172,850
56,-1001810497978,10189
7,-1001812754996,55179
225,-1001817144857,174
141,-1001818218955,2261
204,-1001829563003,394
53,-1001830001152,10560
231,-1001832171416,119
22,-1001834134441,21955
215,-1001844348726,259
54,-1001847598610,10437
194,-1001852275483,579
206,-1001856326339,369
11,-1001866961699,44621
267,-1001870368434,20
139,-1001871770426,2279
223,-1001874093447,191
235,-1001877960104,96
91,-1001879999641,5034
247,-1001887683999,53
43,-1001890302683,12725
29,-1001891206077,18544
124,-1001892533585,2760
75,-1001893261315,7121
110,-1001898237254,3240
