,channel_id,quantidade_mensagens
76,-1001034598292,1032
236,-1001053615329,9
255,-1001082009731,2
79,-1001104762199,979
94,-1001105518976,724
208,-1001122997711,39
105,-1001138204997,583
134,-1001152681992,301
159,-1001162309992,197
221,-1001163238021,24
100,-1001164578421,675
202,-1001166554378,52
82,-1001167125815,960
234,-1001167163006,11
144,-1001168834595,257
193,-1001169939114,82
149,-1001170532613,246
251,-1001170612987,3
97,-1001174074213,701
151,-1001180948961,234
104,-1001181496989,613
114,-1001183932544,486
200,-1001184274556,67
138,-1001185032343,284
156,-1001185585901,208
214,-1001185882892,31
183,-1001187035667,117
88,-1001188279004,842
226,-1001189808506,19
66,-1001189894571,1314
231,-1001192465700,13
241,-1001194822180,6
164,-1001195103298,171
195,-1001202391811,77
176,-1001203717455,134
248,-1001205087017,3
53,-1001206631805,1628
24,-1001207196373,4418
166,-1001207853030,169
34,-1001210325712,3075
238,-1001211455567,8
32,-1001211859007,3373
84,-1001218020047,897
259,-1001221914867,1
245,-1001224882151,5
179,-1001225069015,126
265,-1001226184108,1
196,-1001227889356,76
261,-1001229913545,1
68,-1001232609016,1286
262,-1001241475623,1
233,-1001242542918,11
49,-1001251040659,1914
44,-1001255399520,2419
162,-1001260062975,192
165,-1001262524595,169
203,-1001263104715,48
263,-1001271799024,1
198,-1001274239481,70
92,-1001276821294,777
153,-1001277371789,229
126,-1001278116861,377
154,-1001281270661,217
56,-1001281672460,1573
264,-1001284434839,1
42,-1001285690728,2543
158,-1001287760072,197
254,-1001295685253,2
103,-1001298888199,621
22,-1001299017216,5222
115,-1001306032490,486
253,-1001311057611,3
197,-1001314675069,75
143,-1001315758150,257
75,-1001316292236,1044
73,-1001316803493,1147
258,-1001319910895,1
240,-1001320325373,7
13,-1001323233349,8658
256,-1001330878170,2
61,-1001333472613,1497
132,-1001340952964,331
89,-1001343432514,839
180,-1001347334311,123
64,-1001347741522,1352
29,-1001355792475,3550
257,-1001356188386,2
99,-1001357747959,679
95,-1001359288171,715
169,-1001364342229,152
171,-1001366587545,151
54,-1001368501455,1598
81,-1001375798302,974
172,-1001379217518,150
15,-1001383256261,7703
30,-1001384516486,3464
127,-1001385447420,372
201,-1001388896568,56
52,-1001389233306,1741
37,-1001389426089,2869
23,-1001392633171,4424
106,-1001399016297,563
167,-1001399100023,163
110,-1001407269480,517
174,-1001407793951,144
135,-1001410756924,298
78,-1001410809166,999
33,-1001412711321,3241
192,-1001413181736,87
136,-1001417100490,296
145,-1001418127419,256
108,-1001418165557,550
57,-1001421704570,1569
244,-1001425867953,5
252,-1001430154385,3
204,-1001437878002,47
71,-1001438121370,1201
25,-1001441825416,4335
36,-1001445542540,2969
111,-1001445691020,508
220,-1001445700270,26
243,-1001445797446,5
249,-1001446557171,3
161,-1001447349682,193
51,-1001453746753,1850
119,-1001455471658,433
5,-1001456992865,14498
230,-1001459885589,14
65,-1001461185208,1350
137,-1001465894336,288
129,-1001468312899,348
102,-1001469934877,667
80,-1001470883537,978
19,-1001479700426,6056
212,-1001480329419,32
122,-1001481305285,419
246,-1001481899435,4
45,-1001485359482,2322
128,-1001486521307,364
123,-1001486786150,401
146,-1001490139066,254
219,-1001490158494,26
235,-1001492330757,9
260,-1001492431739,1
239,-1001493452374,7
0,-1001493947883,43069
250,-1001494170309,3
147,-1001494618558,251
41,-1001496206576,2673
211,-1001498731379,33
118,-1001500182303,441
125,-1001505716070,379
177,-1001506062510,128
86,-1001514046531,871
140,-1001515685536,269
31,-1001515918022,3402
90,-1001517274914,838
227,-1001523917439,18
223,-1001528569531,24
72,-1001531514291,1152
39,-1001533966146,2783
229,-1001540685304,15
101,-1001541311858,673
40,-1001541526657,2675
152,-1001546795800,229
133,-1001553042827,321
109,-1001553471004,536
48,-1001555717823,1924
62,-1001556822086,1491
130,-1001559599947,345
63,-1001560438016,1363
168,-1001561440607,156
186,-1001561789589,112
225,-1001562017844,22
216,-1001566783372,29
17,-1001568720497,6350
28,-1001572172813,3859
206,-1001575049144,43
190,-1001580960892,93
175,-1001581203378,138
59,-1001581501114,1502
199,-1001585425310,70
85,-1001587097148,879
116,-1001589137324,475
46,-1001590221948,2299
107,-1001593538776,562
77,-1001594386143,1031
74,-1001596060159,1115
98,-1001597908116,695
207,-1001601138564,43
150,-1001607233450,238
16,-1001608833415,6944
43,-1001610121862,2432
189,-1001613971959,95
155,-1001619037837,214
237,-1001639211618,9
18,-1001642471798,6288
83,-1001652897844,927
178,-1001653638313,127
222,-1001659702835,24
4,-1001660279471,19213
14,-1001662996930,8060
170,-1001663318469,151
50,-1001663621591,1851
6,-1001670661905,14398
117,-1001675598108,474
55,-1001676586934,1594
96,-1001681627862,715
38,-1001683677681,2796
27,-1001687334051,4010
157,-1001688965636,198
188,-1001695364508,103
209,-1001695412517,35
12,-1001695921571,9047
10,-1001700063373,10286
67,-1001702019004,1301
181,-1001703713007,122
9,-1001706423439,10525
120,-1001710954976,427
218,-1001716160507,26
